District,Zone,Geographical Region,Development Region,Constituency,CandidateName,Gender,Age,PartyName
Ilam,Mechi,Hill,Eastern,1,मोहन कुमार तामाङ,पु,48,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Ilam,Mechi,Hill,Eastern,1,तुल वहादुर बस्नेत,पु,43,नेपाल कम्युनिष्ट पार्टी
Ilam,Mechi,Hill,Eastern,1,विषण  थापा मगर,पु,48,लिम्बुवान मुक्ति मोर्चा नेपाल  
Ilam,Mechi,Hill,Eastern,1,हिमालय  कर्मचार्य,पु,58,नेपाली काँग्रेस
Ilam,Mechi,Hill,Eastern,1,देवेन्द्र कुमार राई,पु,53,"सङ्घीय समाजवादी पार्टी, नेपाल"
Ilam,Mechi,Hill,Eastern,1,शेर वहादुर लिम्वु,पु,44,संघीय लिम्बुवान राज्य परिषद
Ilam,Mechi,Hill,Eastern,1,पदम प्रसाद आचार्य,पु,41,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Ilam,Mechi,Hill,Eastern,1,झलनाथ  खनाल,पु,64,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Ilam,Mechi,Hill,Eastern,1,गणेश वहादुर राई,पु,47,मंगोल नेशनल अर्गनाइजेशन 
Ilam,Mechi,Hill,Eastern,2,डम्बर बहादुर लिम्बु,पु,27,संघीय लिम्बुवान राज्य परिषद
Ilam,Mechi,Hill,Eastern,2,पृथ्वी राज चेम्जोङ,पु,35,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Ilam,Mechi,Hill,Eastern,2,भेष राज आचार्य,पु,49,नेपाली काँग्रेस
Ilam,Mechi,Hill,Eastern,2,सुवास चन्द्र नेम्बाङ्ग,पु,61,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Ilam,Mechi,Hill,Eastern,2,कृष्‍ण प्रसाद वास्तोला,पु,46,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Ilam,Mechi,Hill,Eastern,2,विनोद कुमार नेम्बाङ्ग,पु,32,"सङ्घीय समाजवादी पार्टी, नेपाल"
Ilam,Mechi,Hill,Eastern,2,खग प्रसाद शर्मा ढुङगाना,पु,62,राष्ट्रिय प्रजातन्त्र पार्टी 
Ilam,Mechi,Hill,Eastern,2,दिपक प्रकाश पौडेल,पु,46,तराई मधेश पहाड हिमाल एकता पार्टी  
Ilam,Mechi,Hill,Eastern,2,नारायण प्रसाद गुरुङ,पु,34,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Ilam,Mechi,Hill,Eastern,2,रमेश कुमार लिङदेन,पु,51,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Ilam,Mechi,Hill,Eastern,2,जित बहादुर खत्री,पु,71,खस समावेशी राष्ट्रिय पार्टी 
Ilam,Mechi,Hill,Eastern,2,गलिन्द्र  लिम्बु योंगहांग,पु,46,मंगोल नेशनल अर्गनाइजेशन 
Ilam,Mechi,Hill,Eastern,2,हेमन्त  राई,म,42,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Ilam,Mechi,Hill,Eastern,3,धिरेन्द्र  शर्मा,पु,37,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Ilam,Mechi,Hill,Eastern,3,टेक बहादुर राई,पु,64,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Ilam,Mechi,Hill,Eastern,3,केशव  थापा,पु,54,नेपाली काँग्रेस
Ilam,Mechi,Hill,Eastern,3,याक बहादुर लिम्बु,पु,47,नेपाल कम्युनिष्ट पार्टी
Ilam,Mechi,Hill,Eastern,3,गोपाल  थेवे,पु,36,संघीय लिम्बुवान राज्य परिषद
Ilam,Mechi,Hill,Eastern,3,डम्बरबहादुर राना मगर,पु,63,राष्ट्रिय जनमुक्ति पार्टी 
Ilam,Mechi,Hill,Eastern,3,दान बहादुर तामाङ्ग,पु,58,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Ilam,Mechi,Hill,Eastern,3,कृष्‍ण बहादुर खत्री,पु,48,खस समावेशी राष्ट्रिय पार्टी 
Ilam,Mechi,Hill,Eastern,3,दिलेन्द्र  नेम्बाङ्ग,पु,36,लिम्बुवान मुक्ति मोर्चा 
Ilam,Mechi,Hill,Eastern,3,मदन  आचार्य,पु,29,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Ilam,Mechi,Hill,Eastern,3,दिल बहादुर गुरुङ्ग,पु,69,राष्ट्रिय प्रजातन्त्र पार्टी 
Ilam,Mechi,Hill,Eastern,3,सूर्य कुमार गुरुङ्ग,पु,52,मंगोल नेशनल अर्गनाइजेशन 
Ilam,Mechi,Hill,Eastern,3,माधव प्रसाद भट्टराई,पु,65,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Ilam,Mechi,Hill,Eastern,3,ढाल बहादुर गरुङ्ग,पु,46,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,1,बोधराज  दाहाल,पु,37,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Jhapa,Mechi,Terai,Eastern,1,भुमि राज खड्का,पु,53,नेपाल कम्युनिष्ट पार्टी (माले–समाजवादी)
Jhapa,Mechi,Terai,Eastern,1,रविन  कोइराला,पु,49,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Jhapa,Mechi,Terai,Eastern,1,चन्द्र बहादुर तामाङ,पु,49,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,1,धन प्रसाद गुरुङ,पु,54,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,1,सुर्य प्रसाद रिमाल,पु,36,राष्ट्रिय शिवसेना पार्टी 
Jhapa,Mechi,Terai,Eastern,1,बद्री प्रसाद‍ उप्रेती,पु,65,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Jhapa,Mechi,Terai,Eastern,1,ओम प्रकाश खापुङ,पु,32,संघीय लिम्बुवान राज्य परिषद
Jhapa,Mechi,Terai,Eastern,1,विश्व प्रकाश शर्मा,पु,44,नेपाली काँग्रेस
Jhapa,Mechi,Terai,Eastern,1,चन्द्र बहादुर लिम्बु साँवा,पु,56,लिम्बुवान मुक्ति मोर्चा नेपाल  
Jhapa,Mechi,Terai,Eastern,1,एनु कुमार भट्टराई,पु,53,खस समावेशी राष्ट्रिय पार्टी 
Jhapa,Mechi,Terai,Eastern,1,भाद्री  राजवंशी,म,52,तराई–मधेश लोकतान्त्रिक पार्टी 
Jhapa,Mechi,Terai,Eastern,1,रत्नकला  पराजुली,म,42,नेपाल परिवार दल 
Jhapa,Mechi,Terai,Eastern,1,शंकर  मेचे,पु,53,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Jhapa,Mechi,Terai,Eastern,1,शिव कुमार चौहान,पु,65,राष्ट्रिय प्रजातन्त्र पार्टी 
Jhapa,Mechi,Terai,Eastern,1,ओलिन  राजवंशी,पु,48,सद्भावना पार्टी 
Jhapa,Mechi,Terai,Eastern,1,राम सुफल कामती,पु,54,"मधेशी जनअधिकार फोरम, नेपाल "
Jhapa,Mechi,Terai,Eastern,1,कृष्ण कुमार थेवे (सुब्बा),पु,61,राष्ट्रिय जनमुक्ति पार्टी 
Jhapa,Mechi,Terai,Eastern,1,अशोक  सुब्बा,पु,47,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,1,शान्ति लाल धिमाल,पु,54,मंगोल नेशनल अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,1,बुद्धिनाथ  खतिवडा,पु,36,स्वतन्त्र 
Jhapa,Mechi,Terai,Eastern,2,योगेन्द्र  ढकाल,पु,50,राष्ट्रिय जनमोर्चा 
Jhapa,Mechi,Terai,Eastern,2,सुरेस  रय (गुहार),पु,42,"मधेशी जनअधिकार फोरम, नेपाल "
Jhapa,Mechi,Terai,Eastern,2,भुपाल बहादुर राई,पु,42,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,2,दिपक कुमार संग्रौला,पु,34,नेपाल परिवार दल 
Jhapa,Mechi,Terai,Eastern,2,वेद प्रकाश अग्रवाल,पु,61,जनता पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,2,सुधिर कुमार सिवाकोटी,पु,63,नेपाली काँग्रेस
Jhapa,Mechi,Terai,Eastern,2,लिला बहादुर बस्नेत,पु,61,राष्ट्रिय प्रजातन्त्र पार्टी 
Jhapa,Mechi,Terai,Eastern,2,दिपक  रायामाझी,पु,27,नेपाल राष्ट्रसेवा दल 
Jhapa,Mechi,Terai,Eastern,2,कृष्ण बहादुर खत्री,पु,46,राष्ट्रिय शिवसेना पार्टी 
Jhapa,Mechi,Terai,Eastern,2,पवन  शर्मा,पु,38,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Jhapa,Mechi,Terai,Eastern,2,गंगा प्रसाद सिवाकोटी,पु,46,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Jhapa,Mechi,Terai,Eastern,2,इन्द्र प्रसाद ‌ओली,पु,48,राष्ट्रिय स्वाभिमान पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,2,बद्री  महत,पु,40,खस समावेशी राष्ट्रिय पार्टी 
Jhapa,Mechi,Terai,Eastern,2,तेज प्रसाद चौधरी,पु,67,तराई–मधेश लोकतान्त्रिक पार्टी 
Jhapa,Mechi,Terai,Eastern,2,भक्ति प्रसाद सिटौला,पु,52,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,2,गोपाल  चौधरी,पु,64,राष्ट्रिय जनमुक्ति पार्टी 
Jhapa,Mechi,Terai,Eastern,2,मेनुका  खतिवडा,म,52,लिम्बुवान मुक्ति मोर्चा नेपाल  
Jhapa,Mechi,Terai,Eastern,2,चित्रलेखा  पराजुली,म,45,स्वतन्त्र 
Jhapa,Mechi,Terai,Eastern,2,पवित्रा  निरौला (खरेल),म,50,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Jhapa,Mechi,Terai,Eastern,2,शान्ता देवी अधिकारी,म,32,नेपालआमा पार्टी  
Jhapa,Mechi,Terai,Eastern,2,गीता  रिख्यासन,म,32,राष्ट्रिय जनता दल नेपाल 
Jhapa,Mechi,Terai,Eastern,2,पार्वती कुमारी राजवंशी,म,37,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,2,देवेन्द्र किशोर ढुंगाना,पु,52,नव नेपाल निर्माण पार्टी 
Jhapa,Mechi,Terai,Eastern,2,पूर्ण प्रसाद राजवंशी,पु,48,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Jhapa,Mechi,Terai,Eastern,2,बुद्ध लाल मेचे,पु,42,मंगोल नेशनल अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,2,हिमालय  प्रसाईं,पु,37,चुरेभावर राष्ट्रिय एकता पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,2,राज कुमार प्रसाइं,पु,47,मातृभूमि नेपाल दल 
Jhapa,Mechi,Terai,Eastern,3,हरिश चन्द्र राजवंशी,पु,45,सद्भावना पार्टी 
Jhapa,Mechi,Terai,Eastern,3,ईन्द्र प्रसाद ओली,पु,48,राष्ट्रिय स्वाभिमान पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,3,नवराज  खरेल,पु,43,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Jhapa,Mechi,Terai,Eastern,3,कृष्ण प्रसाद सिटौला,पु,64,नेपाली काँग्रेस
Jhapa,Mechi,Terai,Eastern,3,थान बहादुर थापा,पु,44,खस समावेशी राष्ट्रिय पार्टी 
Jhapa,Mechi,Terai,Eastern,3,सान बहादुर मेचे,पु,31,मंगोल नेशनल अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,3,कमारु  जमशेख,पु,53,नेपाल परिवार दल 
Jhapa,Mechi,Terai,Eastern,3,बिनोद  जोतसी,पु,47,राष्ट्रिय प्रजातन्त्र पार्टी 
Jhapa,Mechi,Terai,Eastern,3,सुधिर  ठाकुर,पु,41,तराई मधेश सदभावना पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,3,युवराज  दाहाल,पु,40,राष्ट्रिय शिवसेना पार्टी 
Jhapa,Mechi,Terai,Eastern,3,जय प्रसाद भट्टराई,पु,42,युनाइटेड ग्रीन अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,3,धर्म शीला चापागाईं,म,40,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Jhapa,Mechi,Terai,Eastern,3,श्यामा कुमारी राजवंशी,म,38,तराई–मधेश लोकतान्त्रिक पार्टी 
Jhapa,Mechi,Terai,Eastern,3,मीना  राजवंशी,म,52,"मधेशी जनअधिकार फोरम, नेपाल "
Jhapa,Mechi,Terai,Eastern,3,खेम कुमारी राजवंशी,म,36,संघीय सद्भावना पार्टी 
Jhapa,Mechi,Terai,Eastern,3,विजय कुमार केरुङ,पु,35,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,3,वसन्त कुमार बानिया,पु,36,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Jhapa,Mechi,Terai,Eastern,3,भारतेन्दु कुमार मल्लिक,पु,52,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Jhapa,Mechi,Terai,Eastern,3,राजेन्द्र प्रसाद लिङदेन,पु,49,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,3,गोपाल  थेवे,पु,36,संघीय लिम्बुवान राज्य परिषद
Jhapa,Mechi,Terai,Eastern,3,प्रदिप कुमार राजवंशी,पु,45,राष्ट्रिय जनमुक्ति पार्टी 
Jhapa,Mechi,Terai,Eastern,3,वल्ल बहादुर लिम्बु,पु,53,लिम्बुवान मुक्ति मोर्चा नेपाल  
Jhapa,Mechi,Terai,Eastern,3,किरण  कन्दङवा,पु,33,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,4,भागवत  उपाध्याय नेपाल,पु,53,राष्ट्रिय स्वाभिमान पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,4,प्रेम बहादुर गिरी,पु,48,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Jhapa,Mechi,Terai,Eastern,4,अम्बर बहादुर राई,पु,34,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,4,पुरुषोत्तम  चुडाल,पु,31,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Jhapa,Mechi,Terai,Eastern,4,छत्र बहादुर विश्वकर्मा,पु,41,नेपालआमा पार्टी  
Jhapa,Mechi,Terai,Eastern,4,प्रल्हाद  सापकोटा,पु,70,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,4,सु.वे. मान बहादुर राई,पु,73,राष्ट्रिय जनमुक्ति पार्टी 
Jhapa,Mechi,Terai,Eastern,4,भिष्म प्रसाद मैनाली,पु,48,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Jhapa,Mechi,Terai,Eastern,4,याम बहादुर बस्नेत,पु,51,लिग नेपाल शान्ति एकता पार्टी 
Jhapa,Mechi,Terai,Eastern,4,राजेन्द्र कुमार राई,पु,44,नेपाल कम्युनिष्ट पार्टी (संयुक्त)
Jhapa,Mechi,Terai,Eastern,4,शरण सि‌ह विश्वकर्मा,पु,51,राष्ट्रिय प्रजातन्त्र पार्टी 
Jhapa,Mechi,Terai,Eastern,4,ग्यांसुदिन  मियां,पु,44,तराई–मधेश लोकतान्त्रिक पार्टी 
Jhapa,Mechi,Terai,Eastern,4,अबुल  हुसेन अन्सारी,पु,53,लिम्बुवान मुक्ति मोर्चा नेपाल  
Jhapa,Mechi,Terai,Eastern,4,केदार  ढ‌ुंगाना,पु,38,नेपाल परिवार दल 
Jhapa,Mechi,Terai,Eastern,4,टोम राज लिम्बु (थाम्सुहाङ),पु,43,मंगोल नेशनल अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,4,लिला नाथ भण्डारी,पु,55,नव नेपाल निर्माण पार्टी 
Jhapa,Mechi,Terai,Eastern,4,केवल कुमार कटुवाल,पु,27,लिम्बुवान मुक्ति मोर्चा 
Jhapa,Mechi,Terai,Eastern,4,भवानी प्रसाद ढकाल,पु,56,राष्ट्रिय शिवसेना पार्टी 
Jhapa,Mechi,Terai,Eastern,4,राज देव शाह हलुवाई,पु,62,"मधेशी जनअधिकार फोरम, नेपाल "
Jhapa,Mechi,Terai,Eastern,4,निर्मला देवी श्रेष्ठ,म,35,युनाइटेड ग्रीन अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,4,देव कुमारी कार्की,म,31,खस समावेशी राष्ट्रिय पार्टी 
Jhapa,Mechi,Terai,Eastern,4,उद्धव  थापा,पु,56,नेपाली काँग्रेस
Jhapa,Mechi,Terai,Eastern,5,ओम नारायण राजबंशी,पु,45,सद्भावना पार्टी 
Jhapa,Mechi,Terai,Eastern,5,दुर्जन लाल राजबंशी,पु,68,"मधेशी जनअधिकार फोरम, नेपाल "
Jhapa,Mechi,Terai,Eastern,5,चन्द्र बहादुर भुजेल,पु,33,नेपाल कम्युनिष्ट पार्टी (माले–समाजवादी)
Jhapa,Mechi,Terai,Eastern,5,प्रदिप कुमार राजबंशी,पु,45,राष्ट्रिय जनमुक्ति पार्टी 
Jhapa,Mechi,Terai,Eastern,5,लक्ष्मी नारायण खनाल,पु,35,स्वतन्त्र 
Jhapa,Mechi,Terai,Eastern,5,देउ प्रसाद लिम्बु,पु,30,"सङ्घीय समाजवादी पार्टी, नेपाल"
Jhapa,Mechi,Terai,Eastern,5,ध्रुब कुमार उप्रेती,पु,44,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Jhapa,Mechi,Terai,Eastern,5,टुम लाल राजबंशी,पु,46,स्वतन्त्र 
Jhapa,Mechi,Terai,Eastern,5,झलक बहादुर मगर,पु,38,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Jhapa,Mechi,Terai,Eastern,5,सन्तोष  तामाङ्ग,पु,30,मंगोल नेशनल अर्गनाइजेशन 
Jhapa,Mechi,Terai,Eastern,5,उमेश कुमार शाह,पु,27,जनतान्त्रिक तराई मधेश मुक्ति टाइगर्स 
Jhapa,Mechi,Terai,Eastern,5,हेमन्त बहादुर बोहरा,पु,60,राष्ट्रिय प्रजातन्त्र पार्टी 
Jhapa,Mechi,Terai,Eastern,5,कैलाश  चौधरी,पु,51,नेपाल सद्भावना पार्टी
Jhapa,Mechi,Terai,Eastern,5,केशब कुमार बुढाथोकी,पु,69,नेपाली काँग्रेस
Jhapa,Mechi,Terai,Eastern,5,काजी बहादुर खत्री,पु,58,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Jhapa,Mechi,Terai,Eastern,5,दिपक  पोख्रेल,पु,44,स्वतन्त्र 
